[2026-08-05 17:50:54] [INFO] Starting audit mode. LowFreeSpacePercent=15, SkipOptimizationAnalysis=True
[2026-08-05 17:50:54] [INFO] Scanning drive: C:
[2026-08-05 17:50:56] [INFO] Optimisation analysis skipped for C:
[2026-08-05 17:50:56] [INFO] Reported drive C: with status Healthy
[2026-08-05 17:50:56] [ERROR] Fatal error: Type: System.Management.Automation.RuntimeException | Message: The variable '$DryRun' cannot be retrieved because it has not been set. | Position: At C:\Users\labuser\Documents\Training\day3\disk-health-reporter.ps1:473 char:14
+     if (-not $DryRun) {
+              ~~~~~~~ | Stack: at Invoke-Audit, C:\Users\labuser\Documents\Training\day3\disk-health-reporter.ps1: line 473
at <ScriptBlock>, C:\Users\labuser\Documents\Training\day3\disk-health-reporter.ps1: line 569
[2026-08-05 17:50:56] [INFO] Run summary:
[2026-08-05 17:50:56] [INFO] Mode: audit
[2026-08-05 17:50:56] [INFO] LowFreeSpacePercent: 15
[2026-08-05 17:50:56] [INFO] DrivesScanned: 1
[2026-08-05 17:50:56] [INFO] VolumesReported: 1
[2026-08-05 17:50:56] [INFO] HealthyVolumes: 1
[2026-08-05 17:50:56] [INFO] WarningVolumes: 0
[2026-08-05 17:50:56] [INFO] CriticalVolumes: 0
[2026-08-05 17:50:56] [INFO] LowFreeSpaceVolumes: 0
[2026-08-05 17:50:56] [INFO] OptimizationAnalysed: 0
[2026-08-05 17:50:56] [INFO] OptimizationSkipped: 1
[2026-08-05 17:50:56] [INFO] OptimizationUnavailable: 0
[2026-08-05 17:50:56] [INFO] RollbackRestored: 0
[2026-08-05 17:50:56] [INFO] RollbackSkipped: 0
[2026-08-05 17:50:56] [INFO] Errors: 1
[2026-08-05 17:50:56] [INFO] LogFile: C:\Users\labuser\Documents\Training\day3\logs\disk-health-reporter-audit-20260805-175054.log
